date	DOMESTIC	INTERNATIONAL	REMOTE	TARGET
2015	29	12	17	59.34128234
2016	29	12	17	60.21732391
2017	29	15	14	61.08881609
2018	29	15	17	62.01283654
2019	29	15	17	62.96369926
2020	29	15	17	63.94426763
2021	29	15	17	64.95562226
2022	29	18	14	66
2023	22	21	11	66.78161547
2024	22	21	11	67.58790052
2025	35	21	7	68.41961714
2026	35	21	7	69.27842029
2027	35	21	7	70.16507196
2028	41	21	7	71.08033415
2029	41	21	7	72.02586181
2030	41	26	7	73
2031	41	26	7	74.51712899
2032	41	26	7	76.05896671
2033	41	26	7	77.62301318
2034	41	26	7	79.20926838
2035	41	26	7	80.81773232
2036	41	26	7	82.45229196
2037	41	26	7	84.10906033
2038	44	41	4	85.78803745
2039	44	41	4	87.4892233
2040	44	41	4	89.21511789
2041	44	41	4	90.11007108
2042	44	41	4	90.98838072
2043	44	41	4	92.49294036
2044	44	41	4	94
